Attr,Age,Dist,EmpNo,Gen,JobSat,Marital,M_Income,OT,PctSalHike,TotWY,JobSat2,Income_LY,Diff_Income
0,50,3,644,Male,2,Married,18200,No,11,32,unsat,16396.0,1804.0
0,34,7,28,Female,2,Single,11994,No,11,13,unsat,10805.0,1189.0
0,37,5,1440,Male,3,Single,3500,No,14,7,sat,3070.0,430.0
0,52,28,1401,Female,3,Married,13247,Yes,11,24,sat,11934.0,1313.0
0,46,18,624,Female,3,Married,10527,No,11,28,sat,9484.0,1043.0
1,32,2,1862,Male,2,Single,9907,Yes,12,7,unsat,8846.0,1061.0
0,38,2,24,Male,4,Single,3944,Yes,11,6,sat,3553.0,391.0
0,28,16,1947,Male,3,Single,2144,No,14,5,sat,1881.0,263.0
0,21,1,1131,Female,2,Single,2070,Yes,11,2,unsat,1865.0,205.0
0,26,5,2060,Female,3,Single,2966,No,18,5,sat,2514.0,452.0
0,53,1,682,Female,1,Single,8381,No,20,18,unsat,6984.0,1397.0
1,41,1,1,Female,4,Single,5993,Yes,11,8,sat,5399.0,594.0
1,36,16,1042,Female,1,Single,2743,No,16,18,unsat,2365.0,378.0
0,40,2,2048,Male,3,Single,2809,No,14,8,sat,2464.0,345.0
0,39,1,1737,Male,4,Married,6472,Yes,15,9,sat,5628.0,844.0
0,35,16,1529,Female,2,Single,8606,No,19,11,unsat,7232.0,1374.0
0,34,15,1485,Male,1,Divorced,17007,No,14,16,unsat,14918.0,2089.0
1,35,12,1667,Male,4,Single,4581,Yes,24,13,sat,3694.0,887.0
1,29,27,283,Female,4,Married,7639,No,22,10,sat,6261.0,1378.0
0,44,8,874,Male,4,Married,2818,Yes,24,10,sat,2273.0,545.0
0,38,10,1006,Male,3,Married,2684,No,17,3,sat,2294.0,390.0
0,43,27,1599,Male,2,Divorced,4876,No,12,8,unsat,4354.0,522.0
0,49,6,1661,Female,3,Married,13966,Yes,19,30,sat,11736.0,2230.0
1,28,24,19,Male,3,Single,2028,Yes,14,6,sat,1779.0,249.0
1,18,3,1624,Female,4,Single,1569,Yes,12,0,sat,1401.0,168.0
0,40,26,202,Female,2,Divorced,5605,No,11,20,unsat,5050.0,555.0
1,20,10,701,Male,3,Single,1009,Yes,11,1,sat,909.0,100.0
0,43,7,262,Male,4,Divorced,2089,No,14,7,sat,1832.0,257.0
0,36,2,1710,Female,4,Single,4502,No,15,17,sat,3915.0,587.0
0,20,3,1198,Male,3,Single,3033,No,12,2,sat,2708.0,325.0
0,43,9,663,Male,3,Divorced,5679,Yes,13,10,sat,5026.0,653.0
1,28,12,1175,Female,4,Married,2515,Yes,11,1,sat,2266.0,249.0
0,30,1,104,Male,4,Married,5126,Yes,12,10,sat,4577.0,549.0
0,49,2,2065,Male,2,Married,5390,No,14,17,unsat,4728.0,662.0
1,28,5,65,Male,3,Single,3441,Yes,13,2,sat,3045.0,396.0
0,34,3,847,Male,4,Married,3737,No,19,4,sat,3140.0,597.0
0,40,9,1449,Male,3,Divorced,3975,No,11,11,sat,3581.0,394.0
1,25,5,142,Male,3,Single,5744,Yes,11,6,sat,5175.0,569.0
0,33,2,1670,Male,4,Divorced,5505,No,14,6,sat,4829.0,676.0
0,47,25,1993,Male,3,Single,8633,No,23,25,sat,7019.0,1614.0
0,45,11,1045,Female,4,Married,17650,No,13,26,sat,15619.0,2031.0
0,35,8,805,Female,4,Married,2572,No,16,3,sat,2217.0,355.0
0,29,7,1260,Male,4,Divorced,6623,Yes,11,6,sat,5967.0,656.0
1,29,13,1487,Female,2,Single,5765,No,11,7,unsat,5194.0,571.0
0,46,2,38,Female,1,Single,18947,No,12,22,unsat,16917.0,2030.0
0,49,22,1655,Female,2,Married,16413,No,16,27,unsat,14149.0,2264.0
0,35,11,2003,Male,3,Married,2660,Yes,11,5,sat,2396.0,264.0
0,35,23,1826,Male,3,Married,2705,No,16,6,sat,2332.0,373.0
0,29,9,1709,Female,3,Married,2974,No,17,9,sat,2542.0,432.0
1,48,7,1691,Female,3,Married,2655,Yes,11,19,sat,2392.0,263.0
0,32,2,1235,Female,3,Single,4998,Yes,14,10,sat,4384.0,614.0
0,59,1,91,Female,3,Single,5473,No,11,20,sat,4931.0,542.0
0,25,3,879,Male,1,Married,4194,Yes,18,5,unsat,3554.0,640.0
0,45,25,1888,Female,4,Married,5906,No,13,10,sat,5227.0,679.0
0,31,2,424,Male,1,Married,6410,No,12,9,unsat,5723.0,687.0
0,21,5,1623,Male,4,Single,3117,No,18,3,sat,2642.0,475.0
0,43,15,1666,Male,3,Married,17603,No,24,14,sat,14196.0,3407.0
0,36,2,1847,Female,2,Married,6962,Yes,22,15,unsat,5707.0,1255.0
0,38,17,1088,Female,3,Married,8823,No,18,20,sat,7477.0,1346.0
0,35,1,314,Female,3,Single,8789,No,14,10,sat,7710.0,1079.0
0,39,21,1390,Male,4,Married,6120,Yes,12,8,sat,5464.0,656.0
0,33,25,1220,Female,3,Married,4539,No,12,10,sat,4053.0,486.0
0,33,25,1545,Male,2,Single,4320,No,13,5,unsat,3823.0,497.0
0,42,12,1943,Male,4,Divorced,5087,Yes,12,14,sat,4542.0,545.0
0,28,9,498,Male,4,Single,5253,No,16,7,sat,4528.0,725.0
0,56,1,2026,Male,3,Divorced,6306,No,21,13,sat,5212.0,1094.0
0,55,2,1074,Male,1,Single,16756,No,15,31,unsat,14570.0,2186.0
0,51,8,296,Male,2,Married,12490,No,16,16,unsat,10767.0,1723.0
0,29,21,20,Female,1,Divorced,9980,No,11,10,unsat,8991.0,989.0
0,55,26,1973,Male,2,Married,19636,Yes,18,35,unsat,16641.0,2995.0
1,30,4,514,Male,4,Single,2285,Yes,23,3,sat,1858.0,427.0
0,35,1,105,Male,3,Single,2859,No,18,6,sat,2423.0,436.0
0,42,2,1109,Male,1,Married,17665,No,17,23,unsat,15098.0,2567.0
0,34,1,1447,Female,2,Married,3294,No,17,7,unsat,2815.0,479.0
0,41,6,298,Female,4,Single,13591,Yes,18,16,sat,11518.0,2073.0
0,29,2,94,Male,2,Married,2703,No,23,6,unsat,2198.0,505.0
0,38,12,837,Male,1,Divorced,6288,No,15,13,unsat,5468.0,820.0
0,27,2,54,Female,1,Divorced,2341,No,13,1,unsat,2072.0,269.0
0,40,9,287,Male,4,Married,4876,No,14,5,sat,4277.0,599.0
0,31,2,1613,Male,1,Single,5332,No,13,10,unsat,4719.0,613.0
0,39,9,1132,Male,2,Single,6782,No,15,9,unsat,5897.0,885.0
1,33,14,325,Male,4,Married,2436,Yes,13,8,sat,2156.0,280.0
1,49,28,1420,Male,1,Single,4284,No,20,20,unsat,3570.0,714.0
0,34,8,808,Female,1,Married,6500,No,17,6,unsat,5556.0,944.0
0,25,28,183,Male,3,Married,8639,No,18,6,sat,7321.0,1318.0
1,29,24,1928,Male,1,Single,1091,No,17,1,unsat,932.0,159.0
0,37,10,2017,Female,4,Married,13744,Yes,25,16,sat,10995.0,2749.0
0,32,5,1764,Male,2,Single,2718,No,14,12,unsat,2384.0,334.0
0,27,9,1965,Male,4,Single,4105,No,14,7,sat,3601.0,504.0
1,24,9,1494,Male,1,Single,3172,Yes,11,4,unsat,2858.0,314.0
0,57,1,482,Male,3,Married,6755,No,11,15,sat,6086.0,669.0
1,23,6,811,Male,1,Married,1601,Yes,21,1,unsat,1323.0,278.0
0,46,1,1602,Male,1,Single,17567,No,15,27,unsat,15276.0,2291.0
0,38,10,1119,Male,3,Divorced,8740,Yes,14,9,sat,7667.0,1073.0
0,19,3,201,Female,2,Single,1483,No,14,1,unsat,1301.0,182.0
0,30,8,1015,Female,1,Married,11416,Yes,12,9,unsat,10193.0,1223.0
0,47,14,1934,Male,2,Married,5467,No,18,16,unsat,4633.0,834.0
0,38,1,1668,Male,4,Married,4735,No,15,19,sat,4117.0,618.0
0,24,9,1707,Male,3,Married,4401,No,16,5,sat,3794.0,607.0
0,27,1,725,Female,1,Married,7412,No,11,9,unsat,6677.0,735.0
0,41,9,200,Male,1,Married,2238,No,21,7,unsat,1850.0,388.0
0,51,2,408,Male,2,Divorced,5482,No,18,13,unsat,4646.0,836.0
1,35,10,1639,Male,1,Married,10306,No,17,15,unsat,8809.0,1497.0
0,49,18,638,Male,3,Divorced,19502,Yes,17,31,sat,16668.0,2834.0
0,34,9,717,Female,2,Single,8621,No,14,9,unsat,7562.0,1059.0
0,36,10,592,Male,4,Single,9980,No,14,10,sat,8754.0,1226.0
0,44,1,68,Female,1,Divorced,5454,Yes,21,9,unsat,4507.0,947.0
1,29,24,1868,Male,4,Single,2439,Yes,24,1,sat,1967.0,472.0
0,32,1,78,Male,4,Married,6162,Yes,22,9,sat,5051.0,1111.0
1,29,18,315,Male,4,Single,2389,Yes,13,4,sat,2114.0,275.0
1,35,27,1797,Male,4,Single,5813,Yes,18,10,sat,4926.0,887.0
0,37,14,515,Female,1,Divorced,3034,No,12,18,unsat,2709.0,325.0
0,39,24,2056,Female,4,Married,12031,No,11,21,sat,10839.0,1192.0
0,40,16,1641,Female,4,Single,7945,Yes,15,18,sat,6909.0,1036.0
0,56,7,112,Male,4,Single,7260,No,11,37,sat,6541.0,719.0
0,30,29,1568,Male,2,Married,9250,No,12,9,unsat,8259.0,991.0
1,32,11,631,Male,3,Married,4707,No,12,6,sat,4203.0,504.0
1,53,24,1968,Male,1,Single,10448,Yes,13,15,unsat,9246.0,1202.0
0,36,5,51,Female,1,Married,3419,Yes,14,6,unsat,2999.0,420.0
0,33,13,995,Female,4,Single,3452,No,18,5,sat,2925.0,527.0
0,28,4,129,Male,3,Married,4221,No,15,5,sat,3670.0,551.0
0,54,7,1830,Female,4,Married,6854,No,15,14,sat,5960.0,894.0
1,29,23,1165,Female,1,Married,7336,No,13,11,unsat,6492.0,844.0
0,55,14,254,Male,2,Single,18722,No,11,36,unsat,16867.0,1855.0
0,40,14,1598,Female,1,Married,4639,No,15,5,unsat,4034.0,605.0
1,29,1,2027,Male,4,Married,4787,Yes,14,4,sat,4199.0,588.0
0,22,1,2007,Male,3,Single,3375,No,12,4,sat,3013.0,362.0
0,29,20,1852,Male,4,Married,3812,No,13,11,sat,3373.0,439.0
0,28,3,1121,Female,2,Divorced,7655,No,17,10,unsat,6543.0,1112.0
0,31,8,1461,Female,2,Single,2109,No,18,8,unsat,1787.0,322.0
0,44,2,1496,Male,3,Single,10209,Yes,18,16,sat,8652.0,1557.0
0,22,19,217,Male,4,Married,2323,No,24,2,sat,1873.0,450.0
0,31,2,1974,Female,4,Divorced,1129,Yes,11,1,sat,1017.0,112.0
0,50,29,569,Male,3,Married,17046,No,15,28,sat,14823.0,2223.0
0,35,16,14,Male,2,Married,2426,No,13,6,unsat,2147.0,279.0
0,46,2,575,Male,3,Married,17861,No,13,26,sat,15806.0,2055.0
0,40,9,1548,Male,1,Married,5473,No,12,9,unsat,4887.0,586.0
0,37,1,1196,Female,4,Married,6474,No,13,14,sat,5729.0,745.0
0,59,2,140,Female,4,Married,18844,No,21,30,sat,15574.0,3270.0
0,55,26,1578,Male,4,Married,19586,No,21,36,sat,16187.0,3399.0
0,22,16,22,Male,4,Divorced,2935,Yes,13,1,sat,2597.0,338.0
1,44,1,1098,Male,1,Married,10482,No,14,24,unsat,9195.0,1287.0
1,23,7,1702,Male,4,Divorced,2275,Yes,21,3,sat,1880.0,395.0
0,47,2,1443,Female,3,Married,17169,No,19,26,sat,14428.0,2741.0
0,50,9,1591,Male,3,Married,19331,Yes,16,27,sat,16665.0,2666.0
0,35,25,899,Male,2,Married,10903,No,16,16,unsat,9399.0,1504.0
0,31,4,1916,Female,3,Divorced,3978,No,12,4,sat,3552.0,426.0
0,33,8,1515,Male,3,Single,6388,Yes,17,14,sat,5460.0,928.0
0,35,28,1554,Female,3,Married,2430,No,23,6,sat,1976.0,454.0
0,39,1,417,Male,4,Divorced,9613,No,17,19,sat,8216.0,1397.0
0,46,2,363,Female,2,Married,16872,Yes,12,28,unsat,15064.0,1808.0
0,36,6,373,Male,4,Married,3210,No,11,16,sat,2892.0,318.0
0,41,4,1722,Male,2,Married,6430,No,19,10,unsat,5403.0,1027.0
0,33,7,1970,Male,3,Divorced,5968,No,20,9,sat,4973.0,995.0
0,37,6,378,Male,4,Married,6502,No,14,7,sat,5704.0,798.0
0,38,6,107,Female,4,Divorced,5329,Yes,12,17,sat,4758.0,571.0
0,38,2,803,Female,1,Single,5980,Yes,12,17,unsat,5339.0,641.0
0,46,18,550,Female,3,Divorced,4810,No,14,19,sat,4219.0,591.0
0,18,1,1368,Female,4,Single,1611,No,15,0,sat,1401.0,210.0
0,39,6,1588,Male,3,Married,8237,No,11,11,sat,7421.0,816.0
0,32,5,1607,Female,4,Married,3312,No,17,6,sat,2831.0,481.0
0,39,19,1871,Male,4,Divorced,3902,No,14,7,sat,3423.0,479.0
0,41,9,999,Male,3,Divorced,19419,No,17,21,sat,16597.0,2822.0
0,22,26,1605,Female,3,Married,2814,Yes,14,4,sat,2468.0,346.0
0,25,19,1358,Male,4,Married,3669,No,11,7,sat,3305.0,364.0
0,53,2,1472,Male,2,Single,16598,No,12,35,unsat,14820.0,1778.0
0,52,8,1409,Female,1,Married,2950,No,13,12,unsat,2611.0,339.0
0,47,4,1827,Female,2,Divorced,10333,Yes,12,28,unsat,9226.0,1107.0
0,32,9,679,Female,4,Married,6322,Yes,12,6,sat,5645.0,677.0
0,41,7,1035,Female,3,Divorced,19973,No,22,21,sat,16371.0,3602.0
0,30,8,982,Male,3,Divorced,7264,No,11,10,sat,6544.0,720.0
0,27,3,850,Male,4,Married,1706,No,11,0,sat,1537.0,169.0
0,36,6,97,Female,4,Married,3038,No,12,5,sat,2712.0,326.0
0,26,23,72,Female,4,Married,4157,Yes,19,5,sat,3493.0,664.0
1,36,9,27,Male,1,Single,3407,No,23,10,unsat,2770.0,637.0
0,52,1,259,Male,3,Married,19999,No,14,34,sat,17543.0,2456.0
0,40,2,1986,Female,2,Married,5677,No,14,15,unsat,4980.0,697.0
0,43,8,526,Female,3,Divorced,4522,Yes,14,8,sat,3967.0,555.0
0,42,29,1148,Male,4,Single,4272,No,19,16,sat,3590.0,682.0
0,41,5,1814,Male,2,Single,6870,No,12,11,unsat,6134.0,736.0
0,32,29,2010,Female,2,Single,2837,No,13,6,unsat,2511.0,326.0
0,34,4,523,Female,3,Married,6538,No,15,6,sat,5685.0,853.0
1,34,24,1489,Female,2,Single,4599,Yes,23,16,unsat,3739.0,860.0
0,47,4,467,Male,3,Single,2976,No,19,5,sat,2501.0,475.0
0,31,7,1833,Female,1,Married,9637,No,14,9,unsat,8454.0,1183.0
0,30,28,441,Female,4,Married,5775,No,13,11,sat,5111.0,664.0
0,42,5,1029,Male,3,Married,18303,No,13,21,sat,16197.0,2106.0
0,30,25,475,Female,3,Married,4736,Yes,12,4,sat,4229.0,507.0
0,53,1,1775,Female,3,Married,12965,Yes,20,27,sat,10804.0,2161.0
1,28,17,1960,Male,4,Divorced,2367,No,12,6,sat,2113.0,254.0
0,29,15,15,Female,3,Single,4193,Yes,12,10,sat,3744.0,449.0
1,40,22,492,Male,3,Married,6380,Yes,12,8,sat,5696.0,684.0
0,36,8,878,Male,1,Married,2342,No,21,6,unsat,1936.0,406.0
0,35,22,381,Female,2,Divorced,11996,No,18,10,unsat,10166.0,1830.0
0,35,1,1369,Female,4,Married,5363,No,12,10,sat,4788.0,575.0
0,41,7,1025,Female,3,Single,5003,No,14,8,sat,4389.0,614.0
0,32,7,1446,Male,4,Married,9204,No,12,7,sat,8218.0,986.0
0,39,15,1975,Male,1,Single,13341,No,12,21,unsat,11912.0,1429.0
0,46,2,1732,Male,4,Divorced,10368,Yes,12,13,sat,9257.0,1111.0
1,31,16,1761,Male,3,Married,8161,No,13,10,sat,7222.0,939.0
0,31,8,1430,Female,2,Single,16422,No,11,9,unsat,14795.0,1627.0
0,34,1,1184,Male,1,Single,5343,No,20,14,unsat,4452.0,891.0
1,37,10,1809,Male,1,Single,4213,No,15,10,unsat,3663.0,550.0
0,20,2,1657,Female,3,Single,2783,No,19,2,sat,2339.0,444.0
0,24,24,632,Male,4,Married,2400,No,13,3,sat,2124.0,276.0
0,39,10,1618,Male,1,Married,5377,No,13,10,unsat,4758.0,619.0
1,30,1,1562,Male,1,Married,9714,No,11,10,unsat,8751.0,963.0
1,26,16,394,Male,2,Divorced,2373,Yes,13,5,unsat,2100.0,273.0
0,58,1,1423,Female,1,Married,19701,Yes,21,32,unsat,16282.0,3419.0
0,33,4,1771,Male,2,Divorced,3055,No,15,11,unsat,2657.0,398.0
0,35,1,2052,Female,4,Married,2977,No,12,4,sat,2658.0,319.0
0,49,25,1617,Female,1,Married,3211,No,14,10,unsat,2817.0,394.0
0,31,5,423,Male,4,Married,4821,Yes,12,6,sat,4304.0,517.0
0,29,10,463,Female,2,Divorced,8268,Yes,14,7,unsat,7253.0,1015.0
0,24,1,1981,Male,3,Single,4617,No,12,4,sat,4122.0,495.0
1,35,18,1380,Female,3,Married,4614,Yes,18,5,sat,3910.0,704.0
1,56,14,161,Female,2,Married,4963,Yes,18,7,unsat,4206.0,757.0
0,28,26,1387,Male,1,Married,4724,No,11,5,unsat,4256.0,468.0
0,35,3,704,Male,3,Married,1281,No,18,1,sat,1086.0,195.0
0,54,9,1969,Female,3,Married,2897,No,11,9,sat,2610.0,287.0
0,30,16,1479,Male,3,Married,5301,No,15,4,sat,4610.0,691.0
0,42,29,547,Female,3,Divorced,4556,No,11,19,sat,4105.0,451.0
0,54,2,126,Female,3,Married,13549,No,12,16,sat,12097.0,1452.0
0,59,18,1283,Male,4,Single,10512,No,12,25,sat,9386.0,1126.0
0,52,29,2019,Male,4,Divorced,3482,No,15,16,sat,3028.0,454.0
0,38,15,461,Male,4,Divorced,11510,Yes,14,12,sat,10096.0,1414.0
0,31,9,493,Male,2,Single,2657,Yes,16,3,unsat,2291.0,366.0
0,33,10,1268,Male,3,Divorced,8380,Yes,14,10,sat,7351.0,1029.0
0,33,15,2009,Female,4,Married,4878,Yes,13,10,sat,4317.0,561.0
0,44,4,852,Male,2,Single,5933,No,12,10,unsat,5297.0,636.0
1,19,1,235,Female,1,Single,2325,No,21,1,unsat,1921.0,404.0
0,37,2,139,Male,4,Divorced,5163,No,14,17,sat,4529.0,634.0
0,35,8,1164,Male,3,Single,4323,No,17,6,sat,3695.0,628.0
0,37,10,802,Female,1,Divorced,2782,Yes,13,6,unsat,2462.0,320.0
0,36,10,1880,Female,3,Married,5673,Yes,13,10,sat,5020.0,653.0
0,33,2,39,Male,4,Single,2496,No,11,7,sat,2249.0,247.0
1,31,8,1433,Female,2,Single,1261,No,12,1,unsat,1126.0,135.0
0,49,3,1509,Female,1,Married,4789,No,25,10,unsat,3831.0,958.0
0,43,12,520,Male,2,Divorced,14336,No,11,25,unsat,12915.0,1421.0
0,30,9,41,Male,3,Single,2206,No,13,10,sat,1952.0,254.0
1,33,2,328,Female,1,Married,2707,No,20,13,unsat,2256.0,451.0
0,35,22,577,Male,3,Single,4230,No,15,6,sat,3678.0,552.0
0,28,29,1514,Male,2,Married,6549,No,14,8,unsat,5745.0,804.0
0,34,21,621,Male,4,Single,5337,No,12,10,sat,4765.0,572.0
1,41,5,1210,Male,1,Divorced,2107,No,17,5,unsat,1801.0,306.0
0,30,27,747,Male,4,Divorced,5304,No,23,10,sat,4312.0,992.0
1,34,16,1905,Male,1,Married,2307,Yes,23,5,unsat,1876.0,431.0
0,57,29,568,Male,4,Divorced,14118,No,12,32,sat,12605.0,1513.0
1,31,2,1379,Female,4,Single,2785,No,14,3,sat,2443.0,342.0
0,37,7,1885,Male,1,Married,4284,Yes,22,16,unsat,3511.0,773.0
1,28,2,440,Male,4,Married,3464,Yes,13,5,sat,3065.0,399.0
0,38,7,1382,Male,3,Divorced,2610,No,11,4,sat,2351.0,259.0
0,29,23,495,Male,4,Single,2201,No,16,6,sat,1897.0,304.0
0,28,5,916,Male,4,Single,4908,No,14,4,sat,4305.0,603.0
0,42,4,1171,Male,1,Single,5155,No,13,9,unsat,4562.0,593.0
0,29,8,1544,Female,1,Married,9715,No,13,9,unsat,8597.0,1118.0
0,38,9,245,Female,4,Single,2288,No,12,2,sat,2043.0,245.0
0,56,4,1191,Female,1,Divorced,19943,No,13,28,unsat,17649.0,2294.0
0,31,2,604,Male,4,Single,6582,Yes,13,10,sat,5825.0,757.0
0,34,1,649,Male,4,Married,3622,Yes,13,6,sat,3205.0,417.0
0,35,16,406,Male,2,Married,8020,No,15,12,unsat,6974.0,1046.0
0,35,8,1630,Female,3,Married,4148,No,12,15,sat,3704.0,444.0
0,35,16,1886,Female,2,Married,4788,Yes,11,4,unsat,4314.0,474.0
1,40,7,1649,Male,1,Single,2166,Yes,14,10,unsat,1900.0,266.0
0,27,6,1162,Male,3,Married,2539,No,13,4,sat,2247.0,292.0
0,41,3,2037,Male,2,Divorced,8938,No,11,14,unsat,8052.0,886.0
0,37,5,460,Male,4,Divorced,6347,No,16,8,sat,5472.0,875.0
1,31,6,163,Male,3,Married,6172,Yes,18,12,sat,5231.0,941.0
0,25,4,885,Male,1,Married,4256,No,12,5,unsat,3800.0,456.0
0,40,1,453,Male,4,Married,7457,Yes,22,6,sat,6112.0,1345.0
0,34,10,1774,Male,3,Divorced,4001,Yes,14,15,sat,3510.0,491.0
0,27,9,218,Male,2,Divorced,2024,No,18,6,unsat,1715.0,309.0
0,38,23,12,Male,3,Single,9526,No,21,10,sat,7873.0,1653.0
0,36,9,1949,Male,2,Married,2810,No,22,5,unsat,2303.0,507.0
1,33,16,1758,Female,1,Single,8564,Yes,20,11,unsat,7137.0,1427.0
0,30,3,680,Female,3,Divorced,2083,No,20,1,sat,1736.0,347.0
0,58,23,1308,Male,3,Divorced,2372,No,12,2,sat,2118.0,254.0
0,39,8,602,Female,3,Married,3755,No,11,8,sat,3383.0,372.0
0,30,24,11,Male,3,Divorced,2693,No,22,1,sat,2207.0,486.0
0,48,2,712,Male,2,Married,8120,No,12,12,unsat,7250.0,870.0
0,38,10,2015,Female,3,Married,13206,No,12,20,sat,11791.0,1415.0
0,38,2,1355,Female,1,Divorced,6893,No,15,11,unsat,5994.0,899.0
1,28,2,364,Male,3,Single,3485,No,11,5,sat,3140.0,345.0
0,25,4,527,Female,4,Single,4487,Yes,11,5,sat,4042.0,445.0
0,37,1,1700,Male,4,Divorced,9525,No,14,6,sat,8355.0,1170.0
0,53,2,1050,Female,2,Married,7525,No,12,30,unsat,6719.0,806.0
0,38,1,743,Female,3,Single,7861,Yes,14,10,sat,6896.0,965.0
0,31,9,581,Male,2,Divorced,10648,No,25,13,unsat,8518.0,2130.0
